area,bedrooms,bathrooms,age,floor,total_floors,year_built,price
3195,5,2,37,7,19,1950,200023
1995,2,2,14,15,17,1902,706667
891,1,1,33,16,14,1941,130388
4974,3,2,34,4,19,1918,927200
4061,3,1,48,3,22,1972,871860
2778,1,3,24,17,24,1927,289779
3599,5,2,23,18,13,1983,928453
700,1,2,11,3,12,1944,954850
3604,2,1,17,6,26,1970,256846
2954,1,2,14,9,6,1977,744335
4145,3,2,43,17,21,1962,182212
1304,1,3,15,18,4,1972,992346
3231,5,2,26,3,19,2022,862853
3273,4,3,7,9,16,2023,838140
2070,1,1,45,0,13,2018,971134
3190,5,2,24,17,4,2020,462811
4340,5,3,16,4,23,2023,650309
1528,3,1,28,14,17,1918,209380
1002,5,2,7,16,23,1946,94789
4993,5,1,14,2,1,2015,76086
1370,5,2,26,11,18,1913,329003
4988,5,1,45,1,20,2019,581972
706,2,1,49,0,17,1937,141088
1984,2,3,6,16,27,1952,444423
1363,3,1,2,15,28,1960,620387
3290,1,2,28,4,27,1935,640381
1063,5,2,43,14,15,1939,210761
4691,1,3,23,2,11,1980,885083
2257,1,2,2,6,25,1929,588181
2178,3,2,19,10,28,1908,541024
3742,5,2,45,9,22,1963,640706
1559,5,1,14,8,13,1932,175074
2222,4,1,24,13,1,2019,939497
3814,1,2,29,12,17,1951,180351
3657,1,3,13,1,6,1988,765371
3125,2,1,6,2,4,1913,88635
3229,4,3,16,6,20,1974,145071
2097,2,2,43,17,16,1952,515918
3560,2,2,19,2,15,1998,914950
3193,2,1,35,9,27,2004,418377
4127,3,2,8,6,15,1958,940083
1863,3,1,37,8,6,1977,647093
2481,2,2,47,16,15,1993,471280
2163,4,2,21,10,14,1940,959245
2029,1,1,1,6,28,1967,391207
2538,4,1,23,13,11,2022,314598
3802,5,1,7,18,7,1967,333022
2737,3,2,10,3,9,1991,232170
1806,1,2,12,5,26,1907,243226
4529,1,3,16,9,16,1901,194063
3175,5,1,7,6,5,2004,642632
1782,5,2,20,12,25,2009,941378
1209,2,2,17,13,20,1985,610881
4913,3,1,29,3,29,1940,610592
4248,3,3,17,7,10,2019,473602
1163,4,1,45,4,18,1954,760580
2498,2,3,46,0,3,1915,163613
3945,2,2,30,3,13,1992,774698
4243,2,3,37,2,11,1961,537505
1995,2,2,31,8,17,2012,464299
3804,3,1,10,7,22,1947,592642
4263,3,1,44,0,13,1929,334334
2353,2,1,24,5,6,1911,580430
1791,4,3,32,8,17,1934,471614
4081,1,2,37,6,27,1910,233043
3957,1,1,40,3,13,1963,878294
2136,4,1,7,12,19,2009,758770
4196,2,2,10,16,21,1949,200575
3499,3,1,21,1,19,1984,175438
3652,1,2,23,4,10,1920,622744
1198,5,2,40,11,3,1968,674455
2660,5,2,16,7,14,1947,918467
4597,4,2,11,5,26,1919,844448
1354,2,2,45,7,19,2000,314528
3974,1,3,31,17,5,1966,243392
2207,2,1,14,2,29,1943,458288
3277,1,3,15,11,5,1932,152239
2233,4,1,21,2,20,2016,685719
4010,4,3,27,5,17,1972,916450
702,5,2,19,1,21,1960,614798
3755,2,1,32,11,10,1908,754293
4718,5,1,9,1,5,1967,858258
4996,2,3,39,5,4,1934,380170
1266,5,3,31,16,6,1980,171668
4889,3,1,49,2,26,1997,816988
2827,3,3,32,1,4,1987,468734
3431,3,3,1,19,7,1995,598333
697,3,3,32,7,7,1964,231948
2430,1,2,32,11,18,1907,535662
4082,3,2,40,3,3,1944,664390
1108,4,3,12,4,1,1986,364063
3772,4,3,29,12,24,1946,673729
1647,1,2,32,14,25,1939,208175
4782,3,2,12,15,4,1975,299877
3897,3,1,25,9,6,1953,186917
3011,3,1,21,15,9,1975,267770
2294,5,2,38,11,22,1945,692613
1159,2,3,1,16,14,1946,593625
3311,5,3,37,15,28,1914,727673
1869,2,3,38,11,12,2004,994447
2486,3,3,25,7,28,1918,390093
646,3,1,45,19,25,1925,836708
3719,5,2,49,2,20,1951,363295
3411,5,3,14,15,24,1992,985115
2234,2,1,33,12,25,1921,717304
2343,4,3,41,18,4,2003,889319
988,2,2,43,7,21,1920,655730
3476,5,1,48,4,24,1950,99847
2459,5,2,39,19,12,1937,108653
2885,1,2,10,7,10,1919,791432
3419,5,1,2,11,22,2020,827949
2302,1,1,5,0,28,1928,368766
4561,4,1,8,19,7,1950,339954
3869,2,1,5,5,3,1903,127842
762,2,1,8,17,23,1954,958657
1123,1,1,38,7,28,1970,322647
1516,2,1,30,6,14,1991,134761
4143,5,3,31,0,24,1927,480192
2549,3,2,40,15,10,1903,962871
4223,1,1,49,11,16,1921,848022
3608,2,3,11,5,16,1975,566637
4590,1,3,7,19,22,1944,716246
2556,1,3,7,1,10,1966,980370
3670,3,2,49,13,25,1985,378768
2182,5,1,27,3,13,2007,738152
2755,1,3,19,0,6,1965,452980
1654,2,2,46,17,12,1987,831198
4999,4,2,6,12,9,1933,170356
3691,1,2,10,1,13,1990,267228
2196,1,3,19,8,4,1954,92727
4491,3,1,15,1,24,2004,390615
2148,5,3,3,8,11,1900,582356
1945,4,3,5,0,20,1971,691211
4699,2,1,21,10,18,1986,450511
4423,4,1,25,2,26,1937,484376
753,2,1,2,19,11,1905,61390
3683,5,2,40,3,25,1985,681040
3057,2,1,41,17,21,1924,987635
598,3,3,13,5,4,1981,406898
2700,3,1,10,2,18,1916,388113
3461,3,3,17,10,1,1960,720398
4933,3,2,11,14,27,1911,799078
4277,4,3,22,4,7,1905,389208
3369,5,3,11,19,6,1989,71281
3734,2,1,12,9,15,1926,104189
4291,2,1,24,11,18,1907,312093
1456,3,3,44,14,24,1982,360655
4567,3,1,18,16,11,2023,696403
660,1,2,45,9,20,2005,582893
4993,5,2,35,5,24,1964,412462
1800,4,1,44,17,15,1956,444597
4487,2,2,7,12,16,1992,856242
2027,1,1,28,2,7,2008,299415
1718,1,3,31,9,21,2012,729682
4996,2,3,43,13,10,1998,91869
3604,4,2,17,5,26,1939,607243
3235,1,1,5,2,12,1913,635676
1454,1,1,17,15,24,1934,815612
3946,5,2,18,6,14,1947,60207
1545,4,3,21,19,25,2008,268401
2193,1,2,36,13,5,1983,209292
3936,4,3,31,8,26,1955,527266
1062,2,1,40,14,21,1948,546762
2985,3,3,2,2,18,1912,255157
3854,1,2,27,1,5,1960,72031
725,5,1,9,1,3,2001,513937
1459,2,2,34,2,23,1948,917239
3567,4,2,28,17,26,1945,645600
1315,2,3,14,13,5,2012,634054
3620,1,2,32,19,24,1961,193521
516,4,3,6,17,17,1907,401977
1743,3,1,11,9,19,1942,237771
2705,2,3,48,1,19,1919,287199
3024,1,1,29,0,25,2023,811019
1569,5,3,20,3,21,1996,810129
3944,4,2,30,13,12,1989,685329
3065,2,3,23,0,25,1938,690473
1560,2,3,19,13,29,1984,227164
2827,3,1,36,15,9,2016,506887
3920,3,2,3,13,1,1948,584638
801,5,3,27,19,18,1963,801518
4776,5,2,43,2,21,1961,937291
1106,1,3,19,2,4,2005,563313
3670,1,3,23,8,10,2006,835858
1199,5,2,49,5,25,1953,118487
1639,5,3,48,12,7,2004,198694
690,4,2,31,1,22,1908,173853
2800,3,3,40,7,23,1987,365261
1480,1,1,35,1,1,1936,285062
3475,3,2,33,3,17,1948,501610
1684,3,3,35,14,24,1940,283077
3827,5,3,1,3,29,1916,937516
3894,4,1,14,12,29,1987,73782
627,2,2,33,11,2,1920,559492
2565,4,3,35,12,28,1950,864886
2316,4,1,5,13,26,1958,904336
1069,3,3,38,19,11,1938,704224
2395,4,2,41,17,9,1954,458808
3233,1,3,11,5,7,1940,203245
4363,3,3,2,10,22,1938,172258
4514,1,3,44,1,17,1912,685956
3401,2,3,17,18,17,1963,504418
2186,3,1,39,18,2,1910,532616
3509,2,1,20,4,6,2009,436328
654,3,2,14,18,14,1918,556581
3037,5,1,32,1,6,1910,473966
1909,4,1,34,9,2,1976,328710
4557,5,2,25,1,1,1945,712550
1284,2,1,7,10,10,1944,612621
3675,4,1,35,17,21,1900,434073
4841,3,2,47,14,5,1939,786265
3306,4,2,29,8,2,2007,663859
1037,1,2,22,18,22,1918,170263
2341,4,3,41,8,16,1975,969093
2955,1,3,43,2,25,1971,599523
1024,4,2,13,8,2,1971,50159
3450,1,2,13,13,10,1960,717505
4631,2,2,1,18,2,2016,212993
4615,5,3,36,6,16,2008,417003
2868,3,3,4,15,16,1911,197309
4347,4,1,37,15,19,1960,157507
4995,5,1,44,0,29,2011,975748
3201,3,2,40,3,7,1932,64743
1471,3,3,46,3,22,1944,802462
1666,1,3,13,6,12,1989,96101
3274,2,3,38,7,24,2002,292717
2482,2,2,24,16,15,1991,695822
1353,5,1,19,4,8,2021,396371
4646,2,2,1,6,6,1968,280604
4236,4,1,38,19,28,1907,237450
4269,2,1,5,19,27,1924,907558
1074,5,2,16,3,10,1990,892503
3761,2,1,24,5,3,1945,776481
1648,4,1,27,6,19,1986,386907
2215,1,3,1,17,17,1929,537030
4354,5,1,34,4,7,2008,809710
2991,1,2,36,19,21,1946,455453
3160,1,2,4,2,20,1986,721009
3624,1,1,0,6,26,1948,218785
3551,3,3,39,13,4,1946,254535
504,3,3,11,6,14,1983,750769
1376,1,1,35,4,20,1981,229838
1491,5,1,44,4,22,1917,620442
4642,4,2,22,1,15,1965,319160
4864,4,1,46,5,24,1967,522779
4965,2,3,30,14,8,1993,491904
1135,5,1,10,9,21,1932,926110
2193,3,2,9,6,15,1935,948488
2182,1,2,2,4,22,1981,628526
619,2,2,13,0,20,2000,370752
1330,4,2,15,12,28,1918,663369
4175,3,2,9,17,14,2010,297644
1869,3,1,28,12,27,1927,999401
1240,1,1,9,17,29,1939,887393
616,4,1,11,4,9,1983,249775
3338,5,1,29,12,8,2012,863349
1650,3,2,40,3,26,1996,990240
2431,1,3,0,16,28,1975,864422
1512,5,1,4,2,26,2021,112551
2164,4,3,19,16,17,2014,784983
1581,3,1,7,10,2,1914,727800
1012,5,1,42,19,25,1940,216277
3349,5,3,11,3,24,1938,130811
1059,5,2,0,1,3,1901,829128
4172,3,1,19,19,8,1962,891535
3843,3,1,27,15,12,1928,514028
4570,2,1,42,17,1,2004,418266
1970,4,3,36,7,10,1973,284104
1080,1,2,46,2,20,1965,593296
2794,5,3,36,8,3,1950,252346
3647,2,3,11,19,6,1974,606690
4749,1,2,36,5,7,1976,234456
2179,2,3,48,9,20,1909,834282
4006,3,2,48,9,23,1913,449009
3244,5,1,43,12,25,1981,546043
3856,1,2,27,16,27,1950,186643
4545,1,1,46,8,18,2017,540083
1743,1,3,14,16,11,1972,983713
3618,1,3,5,8,19,2020,163550
2641,1,1,43,8,5,1938,534146
3559,2,3,19,0,19,1927,141218
3459,5,2,49,1,11,1902,183296
2765,3,1,13,15,24,1983,549909
2979,3,3,1,0,12,1969,568767
2135,3,1,8,9,10,1926,229767
2257,3,2,36,17,8,2016,957211
4952,2,2,19,7,24,1901,441858
2570,4,3,25,10,28,1992,815348
3349,5,2,28,1,28,1937,290016
3751,1,1,0,7,9,1902,82441
4230,4,2,34,7,4,1915,288038
2989,3,1,5,16,5,1993,744489
2131,4,1,36,14,21,1939,805612
3316,5,2,4,16,8,1901,898800
1515,1,3,32,12,23,1980,666410
1848,1,2,48,18,9,1940,94760
3587,5,1,13,4,15,1911,335622
3339,5,1,11,11,15,1934,964313
835,3,2,41,0,16,2006,908286
1395,1,3,19,4,14,1964,930662
4046,4,3,49,7,8,1954,397860
1351,2,1,23,12,18,1944,717540
2187,2,1,42,7,10,1978,148538
2431,5,3,33,10,28,1989,589660
4246,3,2,24,0,20,2000,866228
2927,2,1,49,12,6,1984,561511
2068,1,1,28,18,12,1961,271035
4500,5,3,38,2,2,1948,935258
3238,4,2,30,16,7,1994,432736
3998,5,3,46,4,16,1924,405779
4413,4,2,42,19,3,1922,685310
1566,5,2,49,7,13,1923,628328
4880,5,2,22,13,3,2020,911789
2944,5,1,43,3,27,1937,776728
4607,4,3,37,10,18,1927,652644
3873,4,3,19,19,11,1920,328355
4469,5,2,22,14,8,1953,417570
3046,2,1,44,18,6,2006,317986
1253,3,1,15,6,1,1917,506331
2582,3,3,49,18,28,1935,903284
3274,3,1,41,18,1,1998,437881
3396,4,1,7,10,23,1944,358112
4685,4,2,49,4,8,2018,853940
1275,2,1,20,4,5,1972,203077
2125,3,2,0,7,28,1952,104575
3569,3,3,7,9,16,2001,523958
917,5,1,28,5,11,2021,724331
614,4,3,31,14,5,1929,468815
1116,3,3,37,15,4,1959,530808
4474,2,1,4,16,6,2007,641202
3767,2,1,46,7,14,1997,823422
1325,3,3,21,7,22,1931,641343
2016,4,1,46,8,19,1966,661985
3646,2,2,33,1,9,1966,680527
912,5,2,0,14,12,1927,285469
1228,2,1,25,17,11,1943,173106
3848,1,3,42,2,14,1978,841787
3308,1,1,9,16,23,1940,890552
1175,4,1,29,3,16,1962,517835
3965,3,3,49,3,1,1922,350486
3004,4,3,17,13,13,2003,52257
3467,4,2,16,8,23,1974,339508
3286,4,3,25,8,21,1947,730332
1622,4,2,7,17,21,1931,161715
4579,5,3,46,9,13,2021,76654
2071,5,1,39,3,2,2022,786129
2643,2,2,48,11,4,1956,393567
2187,1,2,11,7,28,2017,341464
4632,4,2,26,1,6,1999,595096
4351,2,1,7,12,26,2023,626677
3940,1,1,24,15,27,1932,538906
4266,3,1,45,1,23,1923,168581
2826,5,1,3,10,27,1938,177927
3414,1,1,32,9,5,1933,84773
4452,3,2,0,14,25,1955,756528
1095,1,1,18,16,3,1927,470963
1228,5,2,30,7,1,1936,388540
1865,5,1,15,17,4,1906,551590
4992,2,3,13,8,25,1967,419836
1198,4,2,47,7,20,1936,264764
895,1,3,4,13,2,1955,631793
4671,1,2,40,17,26,1964,922328
4860,3,3,25,19,5,1964,592423
3002,5,1,27,19,3,1946,665175
2319,1,1,1,11,29,1919,172118
1217,5,1,49,18,28,1918,359521
3282,1,2,5,13,29,1928,204626
4077,2,3,8,16,9,1973,898923
643,4,1,32,2,20,1959,295739
3640,1,3,40,6,6,1917,894715
4991,5,3,24,16,18,1991,528356
3438,2,1,47,11,6,1934,329067
4136,1,1,12,8,19,1942,359735
3722,3,3,8,14,28,2010,636549
1667,4,1,12,17,12,1994,366480
3116,1,1,30,12,25,1990,386227
1562,2,1,40,7,11,1910,635236
2656,3,2,10,13,2,1948,290891
3482,2,3,3,7,15,2012,214074
3794,2,3,33,13,12,1937,523314
1656,3,2,37,6,12,1963,559452
1232,2,3,45,11,9,1968,338816
4830,3,1,3,10,21,1907,840645
1453,1,3,37,10,24,1933,191365
3039,3,1,18,12,2,1947,499076
3824,3,2,5,17,22,2015,112507
3801,4,1,33,1,3,1955,107134
2042,3,3,17,14,12,1975,183172
1691,3,3,12,19,28,2001,291225
3493,1,3,40,17,26,1964,243069
3181,4,2,22,14,16,1930,864604
1717,5,2,18,18,21,1903,856564
2040,1,3,44,11,28,2012,823221
3736,1,1,10,12,24,2008,854631
2886,5,2,0,10,26,1949,610897
4219,3,3,23,4,1,1968,224037
1888,2,3,6,0,21,1929,713376
2356,4,2,24,2,3,2019,482995
1865,2,2,20,18,20,1987,546013
999,5,2,14,6,2,1958,344025
2180,1,1,0,11,9,1966,787954
1010,1,1,11,14,19,1974,860904
4812,4,3,6,4,15,1944,550098
1824,1,2,14,14,18,1903,757173
1655,1,1,20,7,26,1925,805728
2327,4,2,18,9,11,1926,307803
3641,4,3,28,15,25,1945,741381
3986,5,1,24,7,23,2017,366275
2310,1,1,32,0,16,2006,729447
3423,1,1,48,11,22,1963,62828
2714,5,3,31,4,17,1990,933096
4686,3,2,48,2,5,2005,566835
1213,3,1,34,0,12,1950,706761
4102,3,3,43,3,11,1949,851625
4634,5,2,37,7,15,1905,273461
4022,1,3,25,2,27,1958,488080
4768,5,2,10,9,3,1914,463523
1743,5,3,34,1,1,2016,414662
4209,3,2,7,10,20,1929,331755
1581,2,1,45,9,29,1941,749151
955,1,2,13,13,16,2000,979454
1394,3,3,9,6,2,2021,388384
