Area (sq ft),Bedrooms,Bathrooms,Location,Age of Property,Price ($)
1358,5,3,East Samuelhaven,46,762274
2366,3,4,Knightville,57,349983
2317,2,2,New Johnbury,65,820325
1644,5,4,Stephensport,61,354661
1309,4,2,Leetown,98,164326
844,3,3,Racheltown,3,778250
1129,5,3,Matthewstad,88,768151
3031,3,3,South Melissa,69,229467
542,1,3,North Elizabethshire,97,137608
582,2,2,New Shelby,80,839670
2072,4,3,Davilabury,96,389096
3393,3,2,New Cameronhaven,40,66533
1026,1,1,New Edwardberg,45,487306
4998,5,1,South Kennethburgh,62,874267
2475,1,2,Johnmouth,7,64290
3595,1,1,Evelynport,44,904116
4836,5,2,Sergioside,7,571584
2580,1,2,Griffinmouth,57,439424
3931,2,3,Port Daniel,80,192744
735,2,2,New Eric,80,790945
4083,4,4,Gilesstad,22,260133
718,4,2,Lake Juliehaven,94,142485
1828,5,3,Annmouth,38,474644
1455,3,3,Lake Nicholas,49,812501
4749,2,1,Shawborough,7,332621
1752,5,3,Lake Erinside,3,591663
3971,4,3,Elizabethview,12,244628
1324,1,1,New Jenniferbury,34,230418
3771,2,1,Richardchester,98,156524
926,4,2,Marioview,56,427355
4090,3,2,New Ericfort,74,409256
797,4,3,East Sarahchester,30,651356
1846,4,2,Lake Christopher,98,255029
3158,5,1,Danstad,95,99920
1177,1,3,West Christy,35,426835
1178,1,2,Lambertmouth,39,479524
4673,3,4,East Stevenville,99,729189
842,5,4,North Paulaville,2,321352
1425,2,3,Smallmouth,55,55242
3643,3,1,Port Davidside,25,560851
1069,5,3,Lake Christopherborough,25,124166
1619,1,1,Luismouth,41,504043
3981,5,1,Haydenton,86,160096
4558,5,1,West Dianaside,16,128994
3528,2,2,North Deborahport,53,558189
3279,5,4,North Alejandro,18,732925
2755,1,1,Port Jennifer,81,655918
3464,4,2,Port Samanthaport,72,335128
1353,3,1,Jonesborough,36,451784
2933,2,3,Sheilaburgh,15,267767
2032,3,3,West Daniel,54,166848
892,1,1,East Stephanie,13,974059
4369,1,2,Haleystad,94,921041
639,3,2,New Timothyborough,90,913428
3050,2,1,New Adamfort,57,496455
3787,2,2,Lake Jacobberg,37,623528
651,2,1,Ericaside,18,844667
1102,4,2,Port Spencerstad,59,975237
2027,1,3,Matthewschester,26,489547
2491,3,4,Lake Shelly,90,598468
2387,1,1,West Johnbury,83,808598
2689,4,3,New Matthew,93,641549
886,3,4,Lake Tinafort,94,720836
4593,5,4,Bellfort,18,260088
4346,2,2,New Jason,18,738505
4800,1,2,New Jeffrey,50,993283
3368,3,2,Lisaburgh,65,577349
1231,4,3,Thomasland,59,890472
3000,5,2,Greenhaven,48,485460
562,5,2,Campbellhaven,63,594945
2537,1,3,Grantberg,87,598171
4115,5,4,Williamfurt,10,456005
815,5,2,Cookhaven,0,374556
1555,2,2,Jacobhaven,78,489363
2540,5,1,Madelineside,63,998692
4713,2,4,Port Brettside,91,825695
4496,1,3,Lake Vincent,72,723836
1044,3,3,Lake Kristopherborough,21,838695
3137,1,1,Lake Laurachester,37,81968
3833,2,3,Michelleside,56,222993
574,3,3,South Victoriaside,10,392480
1065,2,3,Robertfurt,24,467280
628,1,4,Loweview,97,105994
3955,3,4,Stephenport,35,655625
1203,5,2,Gamblefort,88,469168
1289,2,1,Francoton,22,122266
3829,3,3,Port Sophia,95,541261
577,4,1,Helenbury,53,225133
4075,3,3,Christopherside,96,519743
2591,4,1,West Sean,36,944614
1543,1,2,New Kaylaside,98,532831
2082,4,4,Williamshire,31,588659
2957,3,2,Drewmouth,20,590708
4087,1,2,Lake Laura,45,521007
4671,1,4,Lake Mariatown,63,971813
1523,2,1,North Craig,58,568090
3579,4,1,South Cassandrachester,27,394605
2419,5,3,New Justinton,81,456059
3383,4,2,East Johnton,79,345944
2252,1,2,Justintown,87,574380
4250,5,4,Baileyton,32,163875
4378,5,4,Laurenhaven,98,945546
4357,3,3,Castilloshire,53,874841
4598,3,3,South Carrieborough,38,673325
741,3,2,North Christopherbury,94,954834
968,2,4,Gregville,38,146657
3301,4,2,Masonhaven,15,283506
1887,1,3,New Christinestad,9,883917
1279,5,1,Davisshire,81,983062
2141,4,2,New Bryan,54,798857
3717,5,3,Mooremouth,48,128605
4504,4,3,New Bobport,19,913631
4804,4,2,Port Jamesbury,40,137707
2545,4,1,Port Stephanieberg,21,757342
1209,4,3,Johnhaven,88,500155
2100,4,1,Castilloland,72,278891
4822,3,4,Wardburgh,85,707513
1829,2,3,Halltown,4,914889
1642,5,1,Port Cheryl,88,56329
581,4,4,Tonymouth,35,994765
1126,1,2,Clarkview,55,798716
3658,1,4,Lisachester,61,199134
3287,4,4,North Matthew,77,871359
1092,1,2,Adamside,6,916603
2361,4,1,Lake Joytown,59,347506
3193,2,4,Hartmouth,74,827251
2730,1,4,West Rachael,33,474423
2408,4,4,Nelsonfort,100,120081
4435,5,4,South Pattyport,45,592444
1808,2,2,Frankside,65,873440
1757,2,4,Biancashire,27,244333
1981,1,4,New Rebecca,98,651787
4723,5,1,North Frank,93,478330
2195,5,2,North Charlesland,30,803850
3220,5,1,Port Breanna,34,667471
4485,5,4,Kathrynton,29,218421
4723,5,4,Matthewstad,54,742988
3354,2,1,Spencerburgh,22,933849
3137,2,4,Port Jessica,80,614373
3141,4,2,East Johnchester,85,338710
3043,1,4,New Michaelburgh,47,817487
4576,4,1,North Teresahaven,72,107918
3807,4,1,New Royhaven,87,327085
1837,5,1,East Joshuaview,80,994341
3951,2,1,Jennifershire,73,762609
2999,5,3,Johnside,6,607454
4814,3,3,Stanleyland,64,684495
1259,4,3,New Carolville,55,149163
2536,2,4,New Joshua,0,246068
4650,2,4,Lake Abigail,19,420953
2619,3,1,Deanside,44,380210
555,4,3,East Aliciamouth,97,633187
2426,2,1,Finleyfort,1,346817
4198,1,4,Jessicaville,88,337104
4348,5,4,Michelleside,71,263819
4793,5,2,Johnfort,23,979167
2186,3,2,Davidville,74,238244
3145,5,4,Lake Gregoryfort,6,75199
4235,3,2,Franklinburgh,68,876184
4483,3,1,East David,91,214633
1187,2,1,West Elizabethton,23,688524
4002,2,3,Robertburgh,26,817398
1977,3,4,Lonnieborough,27,56911
4843,2,2,West Johnmouth,56,204186
4719,2,3,Sandratown,2,863374
3351,3,1,Gomezmouth,52,859498
3590,1,3,Luisside,1,644871
1097,3,1,West Samuel,73,444282
1249,3,1,West Jennifer,5,222403
1161,5,4,West Jay,84,426828
3886,2,1,Richardshire,82,129500
3438,4,2,Cherylview,63,157428
1098,1,3,Oconnellburgh,78,465034
3944,5,3,West Kathy,19,260753
1815,3,4,North Sherry,35,394585
4887,1,2,West Jason,86,868804
4223,2,1,New Christine,25,289763
4953,2,1,East Todd,62,349579
3320,3,3,Michaelbury,96,210531
1921,5,3,Jameschester,0,242728
4715,4,4,Annetteside,55,110461
1961,4,1,Chungville,35,529590
3401,3,2,Patriciamouth,26,372609
1242,5,3,Port Elizabethland,8,544024
3099,1,2,North Adam,31,320307
2328,3,2,Parkmouth,3,838150
2664,5,4,Howardton,89,180910
2024,5,2,Wilkersonland,0,693733
1335,5,2,Lynnburgh,38,627443
1305,1,3,North Allenshire,74,682820
1611,1,4,Elizabethmouth,67,393497
4909,1,3,West William,85,128072
615,2,2,Robersonshire,15,673870
729,4,3,Youngside,39,58164
2017,1,1,Levimouth,100,538390
896,5,4,Rubenfurt,84,361494
4571,2,4,Sethborough,59,852117
3982,5,4,Arthurshire,92,711827
3202,5,4,Stephaniemouth,91,604064
4426,3,3,East Richard,0,926674
1647,2,3,Lake Zacharybury,95,688812
2399,5,4,Smithmouth,83,272601
4249,2,2,Hannahview,86,882673
3500,4,2,Jacquelinefort,73,423435
1797,2,1,Ramirezview,69,207718
2932,4,2,Christophermouth,67,277895
4264,5,3,East Deanna,96,976312
4555,5,1,Boonefurt,47,275638
4347,2,3,Port Emilyfort,18,328775
4301,4,4,West Michaelside,97,779181
3305,3,4,Lisaborough,41,894574
1015,5,3,Collinsland,40,663068
1846,3,2,North Teresa,53,394757
2370,3,1,Marissaburgh,20,572238
4760,2,2,Robertmouth,43,752545
3343,4,4,Bennettborough,95,691476
4164,4,4,South James,19,406350
1733,2,2,Jonesfurt,75,497512
4253,2,4,Robbinsmouth,66,398064
3751,1,3,Port Michael,24,953687
4483,3,4,Lake Tyronehaven,97,394257
1654,3,2,East Dylanmouth,36,888933
1222,5,3,Port Kim,95,151128
1650,3,4,Port Mark,25,856948
1541,5,4,Kristinabury,31,214211
1905,1,3,Port Davidhaven,95,699477
1491,1,3,Moodyland,65,343393
1960,4,4,Mariaview,2,385698
2220,2,3,New Leslietown,41,254625
2494,5,2,North Meganfurt,74,260206
551,1,1,New Jason,34,52439
1674,4,1,East Andrea,9,867355
2892,1,2,Martinmouth,65,807035
2981,3,4,Holtland,37,442127
2575,2,4,Garnerberg,16,476657
2130,2,4,South April,0,322360
1980,3,2,Hillchester,53,378954
1584,2,1,East Michael,6,767807
523,2,1,New Nancy,92,250520
1054,1,1,Jonesside,69,231517
1460,4,1,Jasonbury,44,814817
793,3,1,Piercemouth,21,666235
3115,3,4,Brownton,0,307047
3698,2,4,Thompsonside,63,940588
3802,5,2,Jeffside,91,741198
3409,1,2,South Brandonmouth,32,763151
973,1,3,North Brandy,70,978811
2242,3,2,South Michelle,24,57753
3543,1,4,Cannonhaven,2,828101
3761,2,3,West Reneeburgh,95,857977
3205,2,1,East Courtneyside,3,336975
986,2,2,Madisonside,28,443410
1016,5,2,North Nicole,58,739435
4811,2,1,West Kathleen,2,719759
4240,4,3,Craigview,24,976929
1330,4,4,Jamesberg,34,75164
2706,1,2,Kennethmouth,73,876522
4049,1,4,West Jamesland,12,168292
2451,2,2,East Janet,14,332772
4145,1,2,New Kevinside,34,897256
1278,2,2,Courtneyland,43,359625
4679,1,2,Andrewfurt,89,734150
1844,1,1,Port Haroldmouth,79,257482
4553,2,1,Reginaldhaven,26,723824
4595,3,4,Port Christopher,16,69687
2730,4,1,Lake Maryfort,63,346791
1174,1,2,North Joseph,96,249421
4111,4,2,Johnchester,75,564590
4751,1,4,South Neilhaven,97,545785
1949,3,1,Port Matthew,85,176411
2984,1,3,Lake Davidville,43,620290
2716,5,3,Newtonshire,93,638765
620,1,4,East Sarah,41,213724
4867,2,3,West Justinchester,90,168500
4391,3,4,Port Danielshire,56,878351
3003,2,3,Port Jeremy,54,875396
4092,4,1,South Belinda,89,180969
4566,4,2,Torresview,8,513842
528,3,3,Johnland,61,350445
4375,3,2,Turnermouth,29,410863
2199,4,1,Charlesbury,60,411239
4097,2,3,Elizabethton,20,819557
1049,4,4,Port Linda,75,603069
4543,5,2,New Casey,100,711681
1654,4,3,Edwinfort,67,756162
3243,4,4,Morseville,41,337674
4022,2,1,West Deborahside,83,860162
875,4,1,Jamesberg,77,981659
1751,4,3,North Christopher,58,148443
3936,3,3,Nicoleview,19,989439
3034,4,1,Catherinefurt,63,477824
733,4,2,Hendersonshire,95,934426
2343,1,2,Millerside,30,233409
4997,5,4,Staciestad,86,806928
774,1,2,Nicoleshire,64,975896
3676,1,1,South Allisonshire,92,226633
2645,3,3,Michaelhaven,5,841030
3114,4,3,Michaelfurt,48,803566
3979,5,1,Port Juan,42,323425
2309,2,2,East Matthew,71,659934
788,3,4,Thomastown,61,836394
1898,1,1,Kimberlyhaven,15,505340
4909,2,3,West Nicholaschester,100,831865
927,3,1,West Ann,98,741731
3257,2,3,Port Davidmouth,61,521301
1806,3,2,Butlerfort,32,450761
789,4,4,North Bryan,23,279341
3157,5,2,West David,76,972035
1032,4,4,Jonesside,37,201671
1944,3,3,Haleyborough,31,970904
4244,3,1,North Kristen,38,388220
2435,1,2,South Ethan,71,815086
4228,4,1,New Laurenhaven,63,834629
2186,5,4,Brittanyton,72,566359
2994,3,3,Riggsland,58,170469
3140,2,3,West Teresa,43,382803
901,5,4,East Davidfurt,94,86404
3029,1,4,Holmestown,93,525231
3029,3,4,Lake Collin,74,373174
3987,2,3,Johntown,63,76512
4683,2,1,Monicashire,40,808743
4175,1,1,East Jonton,85,716719
4640,5,4,South Amyfort,33,76680
4725,1,1,Thomasstad,38,626232
2854,2,2,East Michael,66,871329
1868,3,2,Danieltown,84,688472
2902,5,4,Cervantesview,81,778801
4641,4,4,North Sarahchester,12,526155
1582,5,2,North Heather,13,380101
3826,5,4,Bryantshire,17,409992
792,5,1,North Julie,89,573535
848,4,3,Matthewshire,8,236126
715,5,4,Dawntown,42,655445
4021,2,4,Nicoletown,69,226784
2545,5,1,West Brittanyfurt,51,851286
1201,5,3,Port Jessicaton,14,813373
2377,4,3,Joelview,6,598974
690,2,4,Lake Karenberg,56,587362
1328,2,4,Armstrongbury,94,939334
4816,5,3,East Edwardhaven,79,454128
1551,4,1,Jimenezberg,33,881770
1184,5,4,Nicholehaven,36,717065
3474,2,1,Jennamouth,62,857258
686,5,1,Moyerland,51,359014
2130,4,3,Alexandramouth,19,968179
3201,4,3,New Crystalberg,96,887754
2264,4,3,Wellsside,90,214134
1267,1,2,Barberchester,9,212014
2188,5,3,North Linda,85,488458
3591,4,3,East Elizabeth,74,995693
4792,1,2,East Michael,57,238847
2561,3,3,Williamsburgh,36,436915
648,4,2,Boydtown,87,876705
585,3,1,Lake Jonathanfurt,53,343416
3278,2,3,East Seth,33,252193
502,5,2,Vanessamouth,100,914931
